IAW,IBW,ICW,VAY,VBY,VCY
16778,-6529,-10264,4192,-1631,-2567
16559,-5282,-11293,4135,-1318,-2823
16235,-4002,-12249,4054,-997,-3063
15814,-2689,-13116,3951,-670,-3283
15287,-1360,-13918,3818,-341,-3483
14671,-32,-14631,3664,-9,-3661
13966,1304,-15255,3486,323,-3818
13172,2616,-15797,3288,654,-3951
12298,3921,-16211,3068,981,-4058
11342,5209,-16543,2830,1302,-4139
10329,6465,-16778,2577,1615,-4197
9243,7672,-16907,2305,1916,-4228
8093,8838,-16924,2018,2208,-4233
6902,9948,-16842,1720,2486,-4210
5671,11001,-16656,1412,2747,-4166
4399,11982,-16365,1095,2990,-4093
3102,12881,-15984,771,3218,-3996
1774,13707,-15498,442,3426,-3873
445,14461,-14898,110,3610,-3727
-883,15125,-14209,-221,3776,-3555
-2211,15684,-13448,-554,3913,-3366
-3540,16130,-12613,-882,4028,-3154
-4828,16502,-11682,-1205,4121,-2922
-6084,16778,-10669,-1519,4186,-2671
-7315,16932,-9616,-1825,4226,-2404
-8498,16988,-8498,-2122,4241,-2123
-9616,16940,-7323,-2405,4228,-1830
-10702,16778,-6100,-2674,4189,-1526
-11714,16518,-4836,-2925,4124,-1210
-12646,16162,-3540,-3155,4035,-886
-13489,15708,-2227,-3368,3921,-558
-14258,15149,-899,-3560,3784,-226
-14947,14509,429,-3732,3622,106
-15546,13772,1758,-3881,3436,438
-16049,12946,3070,-4006,3230,767
-16446,12038,4374,-4105,3005,1091
-16729,11066,5654,-4179,2760,1409
-16932,10029,6902,-4228,2499,1720
-17029,8919,8093,-4250,2222,2018
-17021,7753,9235,-4246,1934,2305
-16891,6537,10321,-4216,1631,2577
-16680,5290,11350,-4161,1318,2833
-16356,4018,12306,-4080,997,3074
-15927,2713,13189,-3975,673,3296
-15409,1393,13999,-3844,341,3496
-14801,56,14712,-3690,8,3670
-14096,-1271,15336,-3513,-325,3828
-13286,-2592,15870,-3314,-656,3960
-12403,-3896,16300,-3097,-980,4069
-11463,-5184,16632,-2862,-1300,4150
-10442,-6440,16859,-2604,-1613,4207
-9349,-7655,16980,-2332,-1916,4241
-8206,-8814,16996,-2044,-2204,4249
-7007,-9924,16923,-1744,-2483,4225
-5776,-10969,16729,-1438,-2745,4177
-4504,-11949,16437,-1120,-2993,4105
-3208,-12857,16048,-795,-3220,4006
-1887,-13675,15562,-464,-3424,3883
-558,-14388,14955,-131,-3620,3742
486,-12792,12330,306,-4584,4301
396,-4107,3572,1117,-7819,6731
40,583,-696,1982,-9519,7534
-24,567,-575,2745,-9695,6941
0,56,-81,3465,-9684,6209
8,-64,8,4171,-9741,5567
8,-32,-16,4851,-9783,4928
0,-16,-32,5504,-9762,4254
8,-16,-40,6123,-9673,3549
8,-16,-32,6701,-9525,2820
8,-16,-32,7238,-9321,2073
8,-16,-32,7732,-9055,1315
8,-8,-24,8177,-8736,552
8,-16,-24,8571,-8364,-217
16,-16,-24,8916,-7936,-984
16,-16,-32,9201,-7463,-1746
8,-16,-40,9431,-6941,-2496
8,-16,-32,9604,-6377,-3230
8,-16,-32,9718,-5775,-3947
24,-16,-16,9770,-5135,-4638
24,-8,-16,9762,-4466,-5300
16,-8,-24,9692,-3769,-5930
24,-8,-24,9566,-3048,-6523
24,-8,-24,9378,-2311,-7076
24,-16,-24,9131,-1555,-7584
16,-16,-16,8830,-788,-8044
8,-16,-16,8475,-19,-8456
8,-24,-24,8067,748,-8816
24,-16,-24,7609,1511,-9122
16,-16,-24,7103,2264,-9371
8,-16,-24,6554,3005,-9564
24,-8,-16,5964,3727,-9697
24,-8,-16,5336,4427,-9768
8,-8,-16,4676,5099,-9781
8,-8,-16,3988,5739,-9736
8,-16,-24,3272,6343,-9629
8,-16,-24,2538,6910,-9457
8,-16,-24,1790,7432,-9232
8,-16,-16,1028,7910,-8950
8,-16,-24,260,8339,-8613
8,-16,-24,-507,8718,-8219
16,-16,-16,-1271,9046,-7776
8,-16,-16,-2029,9313,-7290
8,-16,-24,-2776,9523,-6752
8,-16,-16,-3504,9674,-6175
8,-16,-24,-4208,9768,-5559
8,-16,-32,-4889,9800,-4910
16,-8,-24,-5542,9771,-4231
16,-8,-16,-6157,9686,-3523
8,-16,-16,-6735,9538,-2796
8,-16,-24,-7273,9331,-2054
8,-16,-24,-7769,9065,-1296
8,-16,-32,-8213,8746,-528
8,-16,-24,-8608,8370,239
8,-16,-16,-8950,7947,1006
16,-16,-24,-9240,7471,1767
8,-16,-24,-9468,6951,2519
8,-8,-16,-9642,6387,3252
8,-8,-16,-9755,5785,3967
8,-16,-24,-9807,5148,4659
8,-8,-16,-9797,4476,5320
8,0,-8,-9729,3776,5948
8,-8,-16,-9601,3055,6541
8,-16,-24,-9415,2316,7092
8,-16,-16,-9172,1561,7601
8,-8,-24,-8869,798,8062
8,-8,-24,-8514,30,8475
8,-8,-16,-8106,-737,8835
8,-16,-24,-7649,-1501,9141
8,-16,-24,-7142,-2256,9391
8,-16,-24,-6594,-2998,9582
8,-8,-24,-6003,-3719,9715
8,-16,-24,-5378,-4417,9788
8,-8,-16,-4719,-5090,9800
8,-8,-16,-4030,-5729,9752
8,-8,-16,-3314,-6334,9647
8,-16,-24,-2582,-6899,9480
8,-8,-24,-1832,-7424,9253
16,-16,-16,-1070,-7900,8971
8,-24,-24,-302,-8333,8631
8,-16,-24,463,-8712,8239
16,-8,-24,1229,-9034,7798
16,-8,-32,1987,-9302,7309
16,-8,-24,2734,-9512,6774
8,-16,-24,3463,-9666,6198
8,-16,-24,4169,-9760,5580
16,-16,-16,4851,-9792,4932
8,-16,-24,5504,-9763,4254
8,-16,-32,6121,-9673,3549
8,-16,-32,6701,-9525,2820
16,0,-24,7239,-9319,2075
16,-8,-24,7732,-9057,1315
16,-16,-16,8177,-8736,552
16,-16,-16,8573,-8362,-218
16,-8,-16,8916,-7936,-986
16,0,-16,9203,-7461,-1747
8,0,-16,9431,-6943,-2498
8,-8,-16,9604,-6376,-3233
8,-16,-24,9718,-5775,-3949
16,-16,-24,9770,-5137,-4638
16,-16,-16,9762,-4466,-5300
16,-8,-16,9697,-3768,-5929
16,-8,-16,9566,-3050,-6523
8,-16,-24,9378,-2311,-7074
8,-16,-24,9135,-1555,-7584
0,-16,-16,8832,-792,-8046
8,-16,-16,8475,-22,-8458
16,-8,-24,8067,746,-8817
16,-8,-16,7610,1511,-9122
8,-16,-16,7105,2264,-9373
8,-16,-16,6552,3005,-9564
16,-16,-16,5963,3727,-9694
8,-16,-16,5336,4427,-9768
8,-8,-16,4676,5099,-9781
0,-8,-16,3988,5739,-9736
8,-16,-24,3273,6343,-9627
16,-16,-16,2538,6910,-9459
8,-16,-16,1790,7435,-9232
8,-16,-24,1028,7910,-8950
0,-24,-24,260,8338,-8611
0,-16,-16,-508,8717,-8219
8,-8,-16,-1273,9041,-7777
8,-16,-16,-2031,9311,-7286
8,-16,-24,-2778,9522,-6753
8,-16,-24,-3502,9676,-6175
8,-8,-16,-4207,9768,-5559
0,-16,-24,-4889,9800,-4910
0,-16,-24,-5542,9771,-4231
8,-8,-24,-6159,9684,-3525
8,-8,-16,-6737,9536,-2797
0,-8,-16,-7273,9331,-2052
8,0,-16,-7767,9067,-1296
24,0,-16,-8213,8744,-529
24,0,-16,-8610,8370,239
8,-16,-24,-8953,7944,1006
8,-8,-24,-9240,7471,1767
8,-8,-16,-9470,6951,2519
8,-16,-16,-9640,6387,3252
8,-8,-24,-9755,5785,3967
0,-8,-24,-9807,5146,4657
0,-16,-24,-9797,4476,5320
0,-16,-16,-9731,3777,5948
8,-8,-16,-9603,3055,6541
8,-16,-24,-9418,2316,7092
8,-8,-16,-9172,1564,7602
8,-16,-16,-8872,798,8064
8,-16,-24,-8517,29,8474
8,-8,-16,-8108,-737,8835
8,-8,-16,-7648,-1500,9141
8,-16,-16,-7142,-2255,9391
8,-8,-16,-6596,-2997,9582
8,-8,-16,-6006,-3719,9713
0,-16,-24,-5380,-4419,9786
0,-16,-24,-4719,-5090,9800
0,-16,-16,-4028,-5728,9753
8,-8,-16,-3317,-6334,9645
8,-8,-16,-2583,-6902,9478
8,-8,-16,-1833,-7426,9253
8,-8,-16,-1072,-7903,8971
8,-16,-24,-302,-8331,8631
24,0,-16,464,-8710,8240
8,0,-16,1231,-9034,7800
8,0,-16,1989,-9302,7307
8,-16,-24,2734,-9514,6771
0,-16,-24,3463,-9666,6196
0,-16,-16,4169,-9760,5580
8,0,-16,4853,-9791,4932
16,0,-16,5504,-9763,4254
8,-16,-16,6121,-9676,3549
8,-16,-16,6701,-9527,2820
16,0,-16,7239,-9319,2075
8,-8,-16,7732,-9055,1317
8,-16,-16,8176,-8736,552
8,-16,-16,8573,-8360,-217
16,-8,-24,8916,-7936,-984
0,-16,-24,9203,-7461,-1747
8,-16,-24,9433,-6941,-2498
8,-16,-24,9604,-6377,-3233
8,-8,-24,9718,-5775,-3949
0,-16,-24,9770,-5135,-4639
0,-16,-24,9762,-4464,-5300
8,-8,-16,9694,-3768,-5930
24,8,-16,9566,-3048,-6522
16,8,-8,9379,-2306,-7074
8,0,-16,9135,-1553,-7581
0,-16,-24,8832,-790,-8044
8,-8,-24,8475,-21,-8458
16,0,-24,8067,748,-8817
8,-8,-16,7610,1513,-9122
0,-8,-8,7103,2266,-9373
-8,-16,-16,6552,3006,-9564
8,-8,-24,5963,3729,-9697
8,-8,-16,5336,4429,-9771
8,-8,-16,4675,5101,-9783
8,-8,-8,3986,5739,-9736
8,-8,-8,3272,6345,-9627
8,-8,-16,2538,6912,-9457
0,-8,-16,1791,7435,-9232
0,-8,-16,1031,7913,-8950
8,0,-16,264,8339,-8613
8,0,-16,-507,8717,-8221
0,-16,-24,-1273,9041,-7779
0,-16,-24,-2031,9310,-7288
8,-16,-16,-2776,9522,-6753
8,-16,-16,-3502,9676,-6175
8,-8,-16,-4208,9768,-5561
8,-16,-24,-4889,9800,-4910
8,-8,-16,-5540,9771,-4231
8,0,-8,-6159,9684,-3526
8,-8,-16,-6739,9535,-2799
0,-16,-16,-7273,9331,-2052
0,-16,-16,-7769,9065,-1296
0,-8,-16,-8213,8744,-529
8,-8,-8,-8610,8370,239
8,-8,-16,-8953,7946,1007
0,-8,-16,-9238,7471,1770
8,-8,-16,-9467,6951,2519
8,-8,-24,-9639,6389,3254
0,-8,-16,-9752,5786,3969
8,-16,-16,-9805,5146,4659
8,-8,-24,-9799,4476,5318
8,-8,-16,-9731,3779,5947
8,0,-8,-9601,3058,6539
16,0,-16,-9415,2316,7092
8,-8,-16,-9172,1563,7602
8,-8,-16,-8871,800,8064
8,0,-16,-8516,30,8474
8,0,-16,-8109,-738,8835
0,-8,-24,-7649,-1501,9141
8,-8,-24,-7142,-2256,9391
8,-16,-16,-6594,-2998,9582
8,-16,-16,-6005,-3717,9715
8,-8,-16,-5380,-4417,9789
0,-8,-24,-4719,-5088,9800
0,-16,-24,-4030,-5729,9752
8,-16,-24,-3317,-6335,9643
8,0,-16,-2582,-6901,9478
8,0,-8,-1830,-7422,9253
8,0,-8,-1070,-7902,8969
0,-8,-8,-306,-8334,8631
0,-16,-16,463,-8712,8240
0,-8,-16,1229,-9034,7800
8,-8,-16,1989,-9300,7311
8,0,-8,2734,-9511,6774
8,0,-16,3461,-9666,6196
0,-16,-16,4169,-9760,5580
0,-16,-16,4851,-9791,4931
8,-8,-16,5504,-9762,4254
8,-8,-16,6121,-9674,3549
8,-16,-16,6701,-9527,2822
8,-16,-24,7238,-9321,2075
8,-8,-24,7732,-9059,1315
8,-8,-24,8179,-8738,549
8,0,-16,8573,-8364,-218
8,0,-16,8916,-7938,-984
24,0,-8,9203,-7461,-1744
8,0,-8,9433,-6940,-2496
8,-8,-16,9604,-6377,-3233
8,-8,-24,9715,-5776,-3951
8,-16,-24,9770,-5137,-4638
8,-8,-16,9763,-4466,-5300
8,-8,-16,9697,-3768,-5929
8,-16,-24,9566,-3048,-6522
8,-16,-24,9379,-2308,-7076
8,-8,-16,9135,-1553,-7584
16,0,-16,8832,-788,-8044
8,0,-16,8475,-19,-8456
0,-8,-16,8067,750,-8817
0,-16,-16,7610,1511,-9122
16,0,-16,7105,2264,-9373
16,0,-16,6554,3006,-9564
8,-16,-16,5964,3729,-9695
8,-8,-16,5336,4427,-9768
8,-16,-24,4676,5099,-9783
0,-16,-24,3988,5739,-9734
0,-16,-24,3273,6345,-9624
8,-8,-16,2540,6910,-9457
8,0,-16,1791,7435,-9232
8,-16,-24,1028,7913,-8947
0,-16,-24,260,8341,-8610
8,-16,-16,-507,8720,-8219
0,-16,-24,-1271,9044,-7779
0,-16,-24,-2029,9310,-7290
8,-16,-24,-2776,9522,-6753
8,-16,-24,-3502,9674,-6177
8,-8,-16,-4210,9766,-5561
8,-8,-16,-4889,9799,-4911
8,-16,-24,-5540,9773,-4231
8,-16,-16,-6157,9686,-3525
8,-16,-16,-6737,9536,-2797
8,-16,-16,-7273,9329,-2054
0,-16,-16,-7767,9065,-1296
8,-16,-24,-8213,8744,-529
8,-8,-24,-8608,8372,239
8,-8,-16,-8950,7946,1007
8,0,-24,-9237,7473,1770
8,-8,-16,-9467,6953,2519
8,-8,-16,-9640,6389,3254
8,0,-16,-9754,5786,3967
8,-8,-16,-9807,5146,4659
8,-8,-16,-9802,4476,5320
8,0,-16,-9731,3777,5948
0,-8,-16,-9603,3055,6541
0,-8,-16,-9417,2314,7093
0,-16,-24,-9174,1560,7601
8,-8,-24,-8872,798,8062
8,-16,-16,-8514,32,8477
0,-16,-16,-8108,-737,8837
0,-16,-16,-7648,-1501,9141
8,-8,-16,-7142,-2256,9391
8,-16,-24,-6594,-2998,9582
0,-8,-16,-6003,-3721,9711
0,0,-16,-5378,-4419,9786
8,8,-8,-4715,-5088,9800
8,0,-16,-4028,-5729,9752
8,-16,-16,-3316,-6335,9643
8,-8,-16,-2582,-6901,9478
8,-8,-16,-1833,-7424,9253
16,-8,-8,-1070,-7902,8969
16,0,-8,-304,-8331,8631
8,-16,-16,464,-8710,8242
0,-16,-16,1229,-9034,7800
0,-16,-16,1989,-9302,7309
8,-8,-16,2736,-9511,6774
8,-8,-16,3465,-9663,6196
0,-16,-16,4173,-9757,5580
0,-8,-24,4853,-9788,4934
0,0,-16,5504,-9762,4254
8,-8,-16,6121,-9674,3549
8,-8,-16,6701,-9527,2820
8,-8,-16,7238,-9321,2075
8,0,-16,7732,-9057,1318
0,-8,-24,8177,-8738,552
8,-16,-24,8571,-8365,-218
8,-16,-24,8916,-7936,-984
8,-16,-16,9201,-7461,-1744
0,-16,-16,9429,-6941,-2496
8,0,-16,9604,-6377,-3231
8,0,-8,9718,-5775,-3949
8,-8,-16,9770,-5135,-4638
8,-16,-16,9763,-4464,-5300
8,-8,-16,9694,-3768,-5929
8,-8,-16,9566,-3047,-6520
16,-8,-24,9378,-2306,-7072
8,-8,-24,9135,-1550,-7581
8,-8,-16,8833,-787,-8041
-8,-16,-24,8477,-19,-8454
-8,-16,-24,8069,748,-8817
0,-16,-16,7609,1511,-9122
8,-8,-16,7103,2264,-9371
8,0,-16,6552,3005,-9564
8,8,-8,5961,3727,-9695
8,0,-8,5334,4429,-9768
0,-8,-16,4675,5099,-9784
8,0,-16,3985,5739,-9736
16,0,-16,3272,6345,-9627
8,-8,-16,2538,6910,-9459
8,0,-16,1788,7434,-9234
8,-8,-16,1027,7910,-8952
-8,-16,-16,260,8341,-8613
0,-16,-24,-507,8720,-8221
8,-8,-16,-1271,9042,-7780
8,8,0,-2029,9310,-7286
8,0,-16,-2776,9523,-6752
8,-8,-24,-3504,9674,-6175
0,-16,-16,-4210,9766,-5561
8,-8,-16,-4890,9799,-4910
16,0,-8,-5540,9773,-4229
8,0,-8,-6155,9684,-3523
0,0,-16,-6735,9536,-2799
0,-8,-16,-7273,9331,-2052
8,-8,-16,-7767,9067,-1294
8,0,-16,-8213,8746,-529
8,-8,-24,-8610,8370,238
0,-16,-24,-8952,7947,1006
0,-8,-24,-9237,7474,1770
0,-16,-24,-9468,6953,2520
8,-8,-16,-9640,6387,3254
8,-16,-16,-9752,5786,3969
0,-16,-24,-9807,5146,4657
8,-16,-24,-9799,4474,5316
8,-8,-16,-9731,3777,5948
0,-16,-16,-9601,3058,6541
0,-16,-16,-9413,2319,7093
0,-16,-16,-9172,1563,7602
8,-16,-16,-8872,798,8064
8,-16,-16,-8516,30,8475
-8,-16,-24,-8108,-738,8835
0,-8,-16,-7648,-1503,9140
8,-8,-16,-7142,-2256,9391
8,0,-16,-6594,-2997,9582
0,-8,-24,-6003,-3719,9715
0,-8,-16,-5376,-4417,9788
8,0,-16,-4717,-5088,9800
8,0,-24,-4027,-5728,9753
8,-8,-24,-3316,-6334,9643
8,-8,-16,-2582,-6899,9478
8,-8,-24,-1832,-7422,9253
8,-8,-24,-1072,-7903,8969
8,0,-16,-304,-8333,8632
8,0,-8,464,-8710,8240
-8,-8,-16,1229,-9034,7800
0,-8,-16,1987,-9303,7311
0,0,-8,2736,-9512,6774
16,8,0,3463,-9664,6196
16,0,-16,4169,-9760,5580
8,0,-16,4850,-9791,4931
8,-8,-16,5503,-9762,4252
0,-16,-24,6118,-9676,3547
8,-16,-24,6700,-9528,2820
8,-8,-16,7239,-9321,2075
8,-8,-16,7732,-9054,1318
8,-8,-16,8177,-8736,552
8,-8,-8,8573,-8360,-217
8,-8,-8,8916,-7933,-981
8,-8,-16,9203,-7461,-1744
8,0,-16,9431,-6943,-2498
0,-8,-16,9603,-6381,-3235
8,0,-16,9718,-5776,-3949
8,0,-16,9771,-5137,-4638
0,-8,-16,9762,-4466,-5298
0,-16,-16,9694,-3768,-5930
0,-16,-16,9564,-3047,-6522
8,0,-16,9378,-2306,-7072
0,-8,-16,9133,-1553,-7581
0,-8,-16,8833,-788,-8044
8,-16,-16,8475,-21,-8458
8,-8,-16,8067,748,-8817
8,-8,-16,7609,1511,-9122
8,-16,-24,7102,2264,-9373
0,-16,-24,6552,3005,-9564
8,0,-16,5963,3729,-9694
8,0,-16,5336,4429,-9768
0,0,-8,4675,5099,-9783
0,0,-8,3985,5739,-9736
8,0,-8,3272,6345,-9626
8,0,-16,2538,6910,-9459
8,-8,-16,1790,7435,-9230
8,0,-16,1031,7913,-8945
8,0,-8,262,8341,-8610
8,0,-8,-507,8717,-8221
8,0,-8,-1271,9044,-7779
8,-16,-16,-2031,9310,-7290
8,-8,-16,-2776,9522,-6753
8,-16,-16,-3504,9674,-6175
0,-16,-16,-4208,9770,-5558
8,-16,-16,-4889,9802,-4908
0,-8,-16,-5542,9773,-4229
0,-8,-24,-6160,9686,-3523
0,-8,-16,-6739,9536,-2797
0,0,-16,-7273,9331,-2052
0,-16,-16,-7767,9067,-1294
8,-16,-16,-8215,8746,-528
8,-16,-16,-8610,8372,241
8,-8,-16,-8952,7947,1007
8,-8,-16,-9240,7471,1768
16,-8,-16,-9472,6951,2520
8,-16,-16,-9642,6387,3254
0,-16,-24,-9755,5785,3967
8,-16,-16,-9809,5145,4657
16,-8,-8,-9802,4474,5320
8,0,-16,-9732,3779,5948
